url,name,proteins,fats,carbohydrates,calories,category,price,availability,average_rating,rating_count,imgUrl,description,pro/cal,pri/we,html_path,last_upd_time,content,weight,fetchErr
https://www.ozon.ru/product/syr-shveytsarskiy-49-150-g-ozon-fresh-iz-shveytsarii-2082423533/,"Сыр Швейцарский 49% 150 г, Ozon fresh из Швейцарии",29,31,0,395,Ozon fresh#Молочное и яйца#Сыры#Премиальный#Ozon fresh,359,1,4.8,55,https://cdn1.ozone.ru/s3/multimedia-1-r/7595222067.jpg,"Традиционный сыр, произведенный из коровьего молока, с выраженным вкусом и ароматикой. Сыр обладает легким мягким вкусом с нотами сливочности и легкой сладостью, а так же фруктовыми нотками послевкусия. Отлично подходит для сырных тарелок, в качестве составляющих для холодных и горячих закусок, отлично сочетается, как с белым так и с красным вином.

В Швейцарии запрещено производство генно-модифицированной продукции, применение комбикорма и препаратов, повышающих удои, что делает продукцию, произведенною из такого сырья, безупречно безопасной. Используется только цельное молоко коров свободного выгула.",0.07341772151898734,0,,2025-06-13 10:45:30,,,
https://www.ozon.ru/product/syr-gryuyer-49-150-g-ozon-fresh-iz-shveytsarii-2082423871/,"Сыр Грюйер 49% 150 г, Ozon fresh из Швейцарии",27,32,0,396,Ozon fresh#Молочное и яйца#Сыры#Премиальный#Ozon fresh,699,1,5.0,3,https://cdn1.ozone.ru/s3/multimedia-1-y/7595222110.jpg,"Грюйер один из самых вкусных сыров в мире, приготовлен по рецепту,  датированному 1155 годом. Чтобы получить наименование сыра Грюйер, должны соблюдаться строгие правила варки и правильной выдержки, весь процесс строго контролируется представителями ассоциации Швейцарских сыроваров. Сыр светло-янтарный твёрдый сыр без дырок, имеющий нежный аромат и пряный, сладко-солоноватый вкус с нотками ореха. Идеален, как для формирования сырных тарелок, так и как самостоятельная закуска. Превосходно сочетается с вином.

В Швейцарии запрещено производство генно-модифицированной продукции, применение комбикорма и препаратов, повышающих удои, что делает продукцию, произведенною из такого сырья, безупречно безопасной. Используется только цельное молоко коров свободного выгула.",0.06818181818181818,0,,2025-06-13 10:45:30,,,
https://www.ozon.ru/product/syr-maasdam-49-150-g-ozon-fresh-iz-shveytsarii-2082423673/,"Сыр Маасдам 49% 150 г, Ozon fresh из Швейцарии",29,31,0,395,Ozon fresh#Молочное и яйца#Сыры#Премиальный#Ozon fresh,359,1,4.8,38,https://cdn1.ozone.ru/s3/multimedia-1-g/7595222092.jpg,"Сыр, прямиком из Швейцарии, который выделяется на фоне всех сыров. Знаменит благодаря своим крупным глазкам размером с вишню. Сыр с плотной эластичной консистенцией. Обладает спокойным сладковатым ароматом сыра Маасдам, который образуется в процессе вызревания за счет пропионовых бактерии (создают глазки в сыре). Сыр в меру пикантный, особенно хорош с игристыми и белыми винами, в канапе, приготовлении фруктовых салатов, а так же кулинарии.

В Швейцарии запрещено производство генно-модифицированной продукции, применение комбикорма и препаратов, повышающих удои, что делает продукцию, произведенною из такого сырья, безупречно безопасной. Используется только цельное молоко коров свободного выгула.",0.07341772151898734,0,,2025-06-13 10:45:30,"молоко нормализованное, соль,  бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения",,
https://www.ozon.ru/product/moloko-pasterizovannoe-3-2-900-ml-ozon-fresh-1949634623/,"Молоко пастеризованное 3,2%, 900 мл, Ozon fresh",,,,,"Ozon fresh#Молочное и яйца#Молоко, масло и яйца#Пастеризованное молоко#Ozon fresh",97,1,4.6,839,https://cdn1.ozone.ru/s3/multimedia-1-w/7026336920.jpg,,0,0,,2025-06-13 10:45:30,Нормализованное пастеризованное молоко,,
https://www.ozon.ru/product/yogurt-vyazkiy-zhivoy-persik-marakuyya-2-240-g-frugurt-933238849/,"Йогурт вязкий живой Персик-Маракуйя 2% 240 г, Фругурт",3.10,2,17.30,100,"Ozon fresh#Молочное и яйца#Йогурты, сырки и десерты#Густой йогурт#Фругурт",60,1,5.0,11485,https://cdn1.ozone.ru/s3/multimedia-1-1/7498991953.jpg,"Живой йогурт Фругурт с персиком и маракуйей - продукт на основе натурального молока с кусочками фруктов и без добавления консервантов. Большой порции йогурта 240 грамм хватит на питательный перекус или им можно поделиться с членами семьи. Густой йогурт Фругурт представлен еще в двух вкусах: Вишня и Клубника-Малина. 

Бренд Фругурт существует на рынке более 20 лет и предлагает потребителям молочные продукты, в том числе и питьевые йогурты по доступной цене.

•	Большая порция йогурта Фругурт- 240г
•Содержит кусочки фруктов
•На перекус",0.031,0.25,,2025-06-13 10:45:31,"молоко нормализованное, молоко восстановленное (В)*, фруктовый наполнитель «Персик-маракуйя» (вода, персик, сахар, стабилизатор Е1442 (H)* или стабилизатор Е1422 (T)* или кукурузный крахмал (X)*, глюкозно-фруктозный сироп (G)*, концентрированный сок из маракуйи, стабилизатор - пектины (P)*, ароматизаторы, краситель - аннато, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный)), сахар, стабилизаторы (Е1422, гуаровая камедь), желатин, закваска.
*- при использовании данного компонента в маркировке указывается соответствующая ему буква.
Продукт может содержать фрагменты косточек.",240,
https://www.ozon.ru/product/moloko-pasterizovannoe-3-2-2-kg-selo-zelenoe-146215080/,"Молоко пастеризованное 3,2% 2 кг, Село Зеленое",,,,60,"Ozon fresh#Молочное и яйца#Молоко, масло и яйца#Пастеризованное молоко#Село Зеленое",208,1,5.0,18073,https://cdn1.ozone.ru/s3/multimedia-1-d/7498991461.jpg,"Молоко «Село Зелёное» 3,2% производится в регионе с профицитом молока, поэтому в составе только 100% натуральное коровье молоко высшего качества. В составе нет растительных жиров, сухого молока, красителей и консервантов. Молоко «Село Зелёное» производится в строгом соответствии с технологией ГОСТ. Молоко ""Село Зелёное"" отлично подходит для ежедневного употребления как в чистом виде, так и для приготовления сытных каш, блинов, нежной выпечки и других блюд.",0,0.104,,2025-06-13 10:45:31,"молоко цельное, молоко обезжиренное.",2000,
https://www.ozon.ru/product/slivki-ultrapasterizovannye-33-1-l-petmol-145589003/,"Сливки ультрапастеризованные 33% 1 л, Петмол",2.0,33,3.2,318,"Ozon fresh#Молочное и яйца#Молоко, масло и яйца#Сливки 30%#Петмол",689,1,4.9,43960,https://cdn1.ozone.ru/s3/multimedia-1-q/7361858510.jpg,Крем сливочный ультрапастеризованный Петмол 33% сделан из натурального и качественного молока. Сливки легко взбиваются в нежный и сливочный крем и являются незаменимым ингредиентом для ваших кондитерских шедевров.,0.006289308176100629,0.689,,2025-06-13 10:45:31,,1000,
https://www.ozon.ru/product/syr-polutverdyy-45-200-g-kolybelskiy-ekoniva-305484161/,"Сыр полутвердый 45% 200 г, Колыбельский, ЭкоНива",26.8,25.2,0,334,Ozon fresh#Молочное и яйца#Сыры#Полутвердый#ЭкоНива,199,1,4.9,6649,https://cdn1.ozone.ru/s3/multimedia-1-2/7510237202.jpg,"Сыр полутвёрдый «Колыбельский» мы производим в лучших традициях сыроварения по уникальной рецептуре. Племенные коровы едят питательный корм из сельскохозяйственных культур, выращенных на плодородных чернозёмных почвах, близ реки Дон. 

Бурёнки радуют нас большими надоями сыропригодного молока, отобранного по 29 параметрам качества. Из него мы создаём полутвёрдый «Колыбельский» сыр с выраженным сырным, сливочным, слегка пряным вкусом. Его консистенция эластичная и плотная, а текстура — однородная, без рисунка.

Применение: идеально подойдёт для сырной тарелки, а также гармонично сочетается с фруктами и десертами.",0.08023952095808383,0.995,,2025-06-13 10:45:31,,200,
https://www.ozon.ru/product/moloko-pasterizovannoe-2-5-900-ml-ozon-fresh-1949634567/,"Молоко пастеризованное 2,5%, 900 мл, Ozon fresh",3,2.5,4.8,53.7,"Ozon fresh#Молочное и яйца#Молоко, масло и яйца#Пастеризованное молоко#Ozon fresh",95,1,4.6,644,https://cdn1.ozone.ru/s3/multimedia-1-b/7026336899.jpg,,0.055865921787709494,0,,2025-06-13 10:45:32,Нормализованное пастеризованное молоко,,
https://www.ozon.ru/product/syr-myagkiy-kavkazskiy-45-300-g-ozon-fresh-1946863356/,"Сыр мягкий Кавказский 45%, 300 г, Ozon Fresh",16,18,2.7,238,"Ozon fresh#Молочное и яйца#Сыры#Мягкий, творожный#Ozon fresh",329,1,4.8,263,https://cdn1.ozone.ru/s3/multimedia-1-n/7438426043.jpg,"Свежий, молодой кавказский сыр, в производстве которого не используются консерванты и прочие химические ингредиенты изготовлен по традиционной технологии. Относится к мягким сырам.

Высокое содержание аминокислот, кальция, минеральных веществ и витаминов обеспечивает полноценную жизнедеятельность организма человека!
Сыр употребляется как самостоятельное блюдо в свежем и жаренном виде, добавка к салатам, сендвичам и бутербродам.",0.06722689075630252,0,,2025-06-13 10:45:32,,,
