url,name,pri/we,pro/cal,weight,price,calories,proteins,fats,carbohydrates,content,description,availability,last_upd_time,category,average_rating,rating_count,imgUrl,html_path
https://vkusvill.ru/goods/peptidy-kollagena-s-gialuronovoy-kislotoy-120-kapsul-72354.html,"Пептиды коллагена с гиалуроновой кислотой, 120 капсул",450.0,0.24250589424048502,1.0,450.0,296.9,72.0,0.1,2.0,"коллаген гидролизованный (говяжий), оболочка капсулы (желатин пищевой), порошок листьев моринги овальнолистной, гиалуроновая кислота, витамин С (аскорбиновая кислота). Продукция производится на предприятии, где используются аллергены: арахис, злаки, содержащие глютен, молоко (лактоза), орехи, соя.  Содержание в 6 капсулах: Витамин С - 42 мг, Гиалуроновая кислота - 48 мг, Коллаген - 1080 мг.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Комплекс пептидов коллагена, гиалуроновой кислоты, витамина С и листьев моринги, созданный для здоровья кожи, волос и суставов. рекомендации по применению: взрослым по 6 капсул 1-2 раза в день в течение месяца. Возможно повторение приёма в течение года.",0,2025-06-13 11:22:00,"Здоровье#Витамины, БАД",4.8,218,https://img.vkusvill.ru/pim/images/site_LargeWebP/d43a5bc1-ed58-4650-bced-2b06b073edc5.webp?1714573305.4505,peptidy-kollagena-s-gialuronovoy-kislotoy-120-kapsul-72354.html
https://vkusvill.ru/goods/protein-soevyy-55733.html,Протеин соевый,2.38,0.2317987152034261,250.0,595.0,373.6,86.6,0.8,5.0,"изолят соевого белка. Продукция производится на предприятии, где используются арахис, горчица, диоксид серы (сульфиты), злаки, содержащие глютен, кунжут, орехи, сельдерей.Товар от производителейДанный товар поставляют несколько производителей, внешний вид и характеристики могут незначительно отличаться. Актуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Соя является природным источником белка, необходимого для поддержания здоровья организма. Протеин рекомендуется употреблять не только спортсменам, но и тем, кто не получает достаточное количество белка из рациона — например, вегетарианцам. Протеин можно разводить в йогуртах, воде, растительном или обычном молоке, а также добавлять в каши, салаты, смузи и даже в выпечку. Рекомендации по применению: 1-2 порции в день. 1 порция равна 30 грамм. Содержание незаменимых и заменимых аминокислот соевого протеина на 100г: Триптофан 0,722 г 90,3% Треонин 2,169 г 90,4% Изолейцин 2,762 г 138,1% Лейцин 4,602 г 100,0% Лизин 3,551 г 86,6% Метионин 0,722 г 40,1% Цистин 0,722 г 40,1% Фенилаланин 2,958 г 67,2% Тирозин 2,169 г 49,3% Валин 2,827 г 113,1% Аргинин 4,273 г 70,0% Гистидин 1,511 г 72,0% Аланин 2,433 г 36,9% Аспарагиновая 6,576 г 53,9% Глутаминовая 10,849 г 79,8% Глицин 2,367 г 67,6% Пролин 2,893 г 64,3% Серин 2,958 г 35,6%",0,2025-06-13 11:22:06,Здоровье#Спортивное питание,4.6,314,https://img.vkusvill.ru/pim/images/site_LargeWebP/5ec79921-d1ec-437f-a0e0-2ac3d0fe9555.webp?1714654800.0966,protein-soevyy-55733.html
https://vkusvill.ru/goods/kollagen-s-glyukozaminom-i-khondroitinom-so-vkusom-layma-i-limona-200-gr-76632.html,"Коллаген с глюкозамином и хондроитином со вкусом лайма и лимона, 200 гр",5.425,0.22115384615384612,200.0,1085.0,20.8,4.6,0,0.6,"Коллаген гидролизованный говяжий, мальтодекстрин, глюкозамин сульфат, хондроитин сульфат, регулятор кислотности-лимонная кислота,  аскорбиновая кислота (витамин С), витаминный комплекс (биотин, аскорбиновая кислота, никотиновая кислота, токоферол, пантотеновая кислота, цианокобаламин, пиридоксин, тиамин, ретинол, рибофлавин, кальциферол),  подсластитель -стевиолгликозиды, ароматизатор натуральный Лимон-лайм.","Источник коллагена, глюкозамина и хондроитина. Каждый из этих элементов необходим для здоровья костей и суставов, а также красоты кожи, волос и ногтей. Способ применения:  взрослым принимать по утрам за 30 минут до еды по 6 г продукта (1 мерная ложка), смешанного с водой или любым напитком. Содержание питательных веществ на порцию (6 г сухого продукта): гидролизат коллагена - 4,8 г, глюкозамин - 0,24 г, хондроитин - 0,18 г, витамин C - 0,12 г.",0,2025-06-13 11:22:10,"Здоровье#Витамины, БАД",4.8,158,https://img.vkusvill.ru/pim/images/site_LargeWebP/8bb3cf2c-8e36-4211-bfc9-99a46add6ebd.webp?1736889008.4399,kollagen-s-glyukozaminom-i-khondroitinom-so-vkusom-layma-i-limona-200-gr-76632.html
https://vkusvill.ru/goods/vitaminy-gruppy-b-sprey-50-ml-74692.html,"Витамины группы B, спрей, 50 мл",9.2,0.21212121212121213,50.0,460.0,19.8,4.2,0.2,0.3,"вода питьевая, носитель - глицерин, водный экстракт цветков ромашки, водный экстракт плодов шиповника, ниацин (никотинамид), карнозин, инозит, пантотеновая кислота (D-пантотенат кальция), парааминобензойная кислота, витамин B12 (носитель – маннит, цианокобаламин), витамин В6 (пиридоксина гидрохлорид), консервант - бензоат натрия, витамин B1 (тиамина гидрохлорид), ароматизатор «Банан», ароматизатор «Ваниль», ароматизатор «Клубника», витамин B2 (рибофлавин).","Дополнительный источник витаминов группы В в виде удобного спрея, который не содержит сахара и не требует запивания водой. Обладает приятным клубнично-банановым вкусом. В двух распылениях содержится суточная норма витаминов. Этот витаминный комплекс способствует поддержанию здоровья кровеносной и сердечно-сосудистой систем, а также помогает защищить организм от стресса.",0,2025-06-13 11:22:07,"Здоровье#Витамины, БАД",4.8,118,https://img.vkusvill.ru/pim/images/site_LargeWebP/b5b9764e-174f-4cf5-943e-ccc8a36b5d3a.webp?1721507674.7161,vitaminy-gruppy-b-sprey-50-ml-74692.html
https://vkusvill.ru/goods/protein-syvorotochnyy-shokolad-43094.html,Протеин сывороточный «Шоколад»,4.124444444444444,0.2052861175263023,450.0,1856.0,389.7,80.0,3.3,10.0,"концентрат сывороточного белка, изолят сывороточных белков, какао- порошок, загустители (гуммиарабик, ксантановая камедь), витаминный премикс (Витамин С(аскорбиновая кислота), ниацин, Витамин Е, пантотеновая кислота, Витамин В6, Витамин В1, Витамин В2, фолиевая кислота, биотин, Витамин В12), натуральный ароматизатор ""Карамель"", подсластить сукралоза.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Сывороточный протеин с витаминным премиксом, обладающий насыщенным шоколадным вкусом. Легко растворяется в воде и молоке. Внутри баночки вы найдёте удобную ложечку, позволяющую точно отмерить необходимую дозировку. В одной банке — 15 порций из расчёта 30 граммов на один белковый напиток.",0,2025-06-13 11:22:01,Здоровье#Спортивное питание,4.9,372,https://img.vkusvill.ru/pim/images/site_LargeWebP/edcdf9e6-589a-470d-88f6-f6b24deebf60.webp?1716505657.5216,protein-syvorotochnyy-shokolad-43094.html
https://vkusvill.ru/goods/protein-syvorotochnyy-vanil-53140.html,Протеин сывороточный «Ваниль»,3.951111111111111,0.2042379371968343,450.0,1778.0,391.7,80.0,3.3,10.0,"концентрат сывороточного белка, изолят сывороточных белков, загустители (гуммиарабик, ксантановая камедь), премикс витаминный (Витамин С, ниацин, Витамин Е, пантотеновая кислота, Витамин В6, Витамин В1, Витамин В2, фолиевая кислота, биотин, Витамин В12), ароматизатор пищевой натуральный  Ваниль, подсластитель сукралоза. Содержит подсластители (сахарозаменители). При чрезмерном употреблении могут оказывать слабительное действие.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Сывороточный протеин с витаминным премиксом, обладающий изысканным ванильным вкусом. Легко растворяется в воде и молоке. Внутри баночки вы найдёте удобную ложечку, позволяющую точно отмерить необходимую дозировку. В одной банке — 15 порций из расчёта 30 граммов на один белковый напиток.",0,2025-06-13 11:22:09,Здоровье#Спортивное питание,4.8,341,https://img.vkusvill.ru/pim/images/site_LargeWebP/c9c3ba60-5774-4e50-8e2a-888eeb42328a.webp?1714654863.8666,protein-syvorotochnyy-vanil-53140.html
https://vkusvill.ru/goods/kollagen-napitok-so-vkusom-tsitrusovyy-miks-39019.html,Коллаген напиток со вкусом «цитрусовый микс»,0.74,0.2,250.0,185.0,20.0,4.0,0,0,"Вода подготовленная, коллаген животного происхождения (свиной I и III типа), вкусо-ароматическая основа ""Цитрусовый соковый концентрат"" (соки восстановленные : яблочный, лимонный, апельсиновый) ,регулятор кислотности -лимонная кислота, натуральный ароматизатор -""Лимон-Лайм"", подсластитель- сукралоза. Содержит подсластители (сахарозаменители). При чрезмерном употреблении могут оказывать слабительное действие.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Напиток с коллагеном в биодоступной форме, обладающий приятным кисло-сладким вкусом. Не содержит добавленного сахара. Коллаген необходим для здоровья и красоты волос, кожи и ногтей, а также эластичности хрящей и суставов. В одной баночке содержится 10 граммов коллагена. Рекомендации по применению: 5-10 граммов коллагена ежедневно в течение месяца. При необходимости приём можно повторить. Перед применением рекомендуется проконсультироваться с врачом.",0,2025-06-13 11:22:05,"Здоровье#Витамины, БАД",4.9,1047,https://img.vkusvill.ru/pim/images/site_LargeWebP/5308ac02-8ea6-4deb-a398-85cfba2bf2a1.webp?1714572930.0942,kollagen-napitok-so-vkusom-tsitrusovyy-miks-39019.html
https://vkusvill.ru/goods/spirulina-pressovannaya-tabletki-50-gr-31746.html,"Спирулина прессованная, таблетки, 50 гр",9.0,0.19478659409911198,50.0,450.0,349.1,68.0,5.1,7.8,"спирулина прессованная в таблетках, вспомогательные вещества (МКЦ (микрокристаллическая целлюлоза), Аэросил, Стеарат).Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Один из самых популярных суперфудов. Спирулина отличается высоким содержанием хлорофилла, который придает ей глубокий, изумрудно зеленый цвет, богата витамином А, а также является прекрасным источником витаминов группы B и железа. Кроме того, спирулина на 75% состоит из белка, включая все 8 незаменимых аминокислот. Способ употребления: принимать по 2–6 таблеток три раза в день, запивая водой, или добавлять в напитки, йогурт, смузи.",0,2025-06-13 11:22:06,"Здоровье#Витамины, БАД",4.9,139,https://img.vkusvill.ru/pim/images/site_LargeWebP/a62a75d9-7f66-409d-911c-b6cecd7372dd.webp?1714512644.1499,spirulina-pressovannaya-tabletki-50-gr-31746.html
https://vkusvill.ru/goods/bcaa-poroshok-laym-limon-59732.html,BCAA порошок лайм-лимон,3.3,0.16483516483516483,200.0,660.0,364.0,60.0,0,31.0,"аминокислоты (L-лейцин, L-валин, L-изолейцин), мальтодекстрин, регулятор кислотности- лимонная кислота, ароматизатор натуральный- лайм ,ароматизатор натуральный -лимон,  стабилизатор- цитрат натрия, подсластитель -сукралоза, краситель- рибофлавин.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Добавка из трёх незаменимых аминокислот — L-лейцина, L-изолейцина и L-валина — в оптимальном соотношении 2:1:1. Обладает насыщенным цитрусовым вкусом. Комплекс аминокислот способствует повышению выносливости на тренировках и росту мышечной массы, а также ускоряет восстановление мышц. Внутри баночки — удобная мерная ложечка.",0,2025-06-13 11:22:03,Здоровье#Спортивное питание,Ждёт оценку,3,https://img.vkusvill.ru/pim/images/site_LargeWebP/7ba66508-c5de-469e-9909-1eece4f7c60c.webp?1715811391.4115,bcaa-poroshok-laym-limon-59732.html
https://vkusvill.ru/goods/spirulina-i-khlorella-vodorosli-v-tabletkakh-100-g-200-tabl-74986.html,"Спирулина и Хлорелла, водоросли в таблетках, 100 г, 200 табл.",5.65,0.16230366492146597,100.0,565.0,191.0,31.0,3.0,10.0,"порошок спирулины, порошок хлореллы, лактоза, диоксид кремния (антислеживающий агент), магниевая соль стеариновой кислоты (стеарат магния - агент антислеживающий). Продукция производится на предприятии, где используются арахис, злаки, содержащие глютен, кунжут, молоко (лактоза), орехи, соя.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Спирулины и хлорелла — одни из самых популярных суперфудов. Они отличаются высоким содержанием хлорофилла, который придает им глубокий, изумрудно-зелёный цвет. Эти ценные водоросли содержат растительный белок и антиоксиданты, способствующие улучшению уровня холестерина и предотвращению хронических заболеваний. Рекомендации по применению: взрослым принимать по 4 таблетки 1 раз в день, запивая водой. Продолжительность приёма — 1 месяц. Перед применением рекомендуется проконсультироваться с врачом.",0,2025-06-13 11:22:02,"Здоровье#Витамины, БАД",4.8,65,https://img.vkusvill.ru/pim/images/site_LargeWebP/6dac68a6-c678-4cdb-a8e4-420961d52a42.webp?1717511188.1072,spirulina-i-khlorella-vodorosli-v-tabletkakh-100-g-200-tabl-74986.html
