url,name,pri/we,pro/cal,weight,price,calories,proteins,fats,carbohydrates,content,description,availability,last_upd_time,category,average_rating,rating_count,imgUrl,html_path
https://vkusvill.ru/goods/kurinye-chipsy-syrovyalenye-74495.html,Куриные чипсы сыровяленые,4.06,0.21185567010309278,50.0,203.0,194.0,41.1,2.4,2.0,"филе грудки куриное, соевый соус (вода питьевая,бобы соевые, пшеница, соль пищевая, сахар), соль пищевая, сахар, паприка сладкая молотая, перец черный молотый, чеснок гранулированный, перец чили молотый.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Сыровяленая куриная грудка в аппетитном формате чипсов. Насыщенный мясной вкус, подчёркнутый пряными нотами соевого соуса и остринкой чили, — вот чем порадует этот снек. А ещё — простым составом и высоким содержанием белка: в одной пачке его больше 20 г!",0,2025-06-13 11:19:18,"Колбаса, сосиски, деликатесы#Мясные снеки и колбаски",4.9,2872,https://img.vkusvill.ru/pim/images/site_LargeWebP/8fdbdca9-79aa-439f-bced-d17fdbde332e.webp?1723546314.1366,kurinye-chipsy-syrovyalenye-74495.html
https://vkusvill.ru/goods/kurinye-chipsy-solomka-syrovyalenye-79782.html,Куриные «чипсы» (соломка) сыровяленые,4.08,0.21185567010309278,50.0,204.0,194.0,41.1,2.4,2.0,"филе грудки куриное, соевый соус (вода питьевая,бобы соевые, пшеница, соль пищевая, сахар-песок), соль пищевая, сахар, паприка сладкая молотая, перец черный молотый, чеснок гранулированный, перец чили молотыйТовар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Вяленая соломка из куриной грудки. Вкус деликатный, специи слегка щиплют язык, но без явной остроты. Текстура «долгоиграющая», умеренно плотная. А количество белка впечатляющее — более 20 г на упаковку.",0,2025-06-13 11:19:49,"Колбаса, сосиски, деликатесы#Мясные снеки и колбаски",4.7,1328,https://img.vkusvill.ru/pim/images/site_LargeWebP/c9b067f6-92d6-4cce-9d4d-83d2783d84ad.webp?1702071535.5209,kurinye-chipsy-solomka-syrovyalenye-79782.html
https://vkusvill.ru/goods/file-indeyki-kopcheno-varenoe-narezka-16552.html,"Филе индейки копчено-вареное, нарезка",2.48,0.21179624664879354,100.0,248.0,111.9,23.7,1.9,0,"Филе грудки индейки, соль поваренная пищевая.  Продукт производится на предприятии, где используются: говядина, свинина, мясо кур, горчица, сельдерей, орехи, соя, молоко, яйца, злаки, содержащие глютен.   Продукт из мяса птицы сорта экстра.Товар от производителейДанный товар поставляют несколько производителей, внешний вид и характеристики могут незначительно отличаться. Актуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Индейка — диетический продукт. Так что нарезка особенно понравится тем, кто считает калории. Помимо мяса, в составе только соль. Нежное филе индейки, нарезанное аккуратными слайсами, отлично подойдёт как для мясной тарелки, так и для сытного перекуса.",0,2025-06-13 11:20:04,"Колбаса, сосиски, деликатесы#Нарезки",4.8,2421,https://img.vkusvill.ru/pim/images/site_LargeWebP/4e28ee56-6b5d-44a0-adbd-670e5929234a.webp?1738619681.9521,file-indeyki-kopcheno-varenoe-narezka-16552.html
https://vkusvill.ru/goods/tvorog-obezzhirennyy-180-g-26797.html,"Творог обезжиренный, 180 г",0.0,0.20555555555555555,180.0,,90.0,18.5,0.3,3.3,"молоко обезжиренное, закваскаТовар от производителейДанный товар поставляют несколько производителей, внешний вид и характеристики могут незначительно отличаться. Актуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Обезжиренный творог станет идеальным питательным завтраком для тех, кто придерживается строгого рациона. Мягкий, с лёгкой молочной кислинкой во вкусе, он прекрасно сочетается с сухофруктами, ягодами и орехами. А ложечка мёда или варенья превратят творог в настоящий полезный десерт.",0,2025-06-13 11:18:58,"Молочные продукты, яйцо#Творог",4.9,12886,,tvorog-obezzhirennyy-180-g-26797.html
https://vkusvill.ru/goods/chipsy-kurinye-s-pertsem-81955.html,Чипсы куриные с перцем,4.88,0.19444444444444445,25.0,122.0,252.0,49.0,4.0,5.0,"филе грудок кур, соль пищевая, вода питьевая, казеинат натрия, клетчатка (картофельная, цитрусовых), сахар, декстроза, растительные экстракты (ацеролы, зеленого чая, тимьяна), пряности (кориандр, чеснок, лук), экстракты пряностей (перец чили, паприка), экстракты фруктов (лайм, апельсин, лимон), сухой сироп глюкозы, дрожжевой экстракт, стартовая культура Продукция производится на предприятии, где используются аллергены: арахис, горчица, злаки, содержащие глютен, кунжут, орехи, сельдерей, соя, яйца.","Сыровяленые чипсы из отборного филе грудки. С долгоиграющей структурой и выразительной перчинкой в пряном вкусе. В одной пачке 12,25 г белков и всего 63 ккал. Удобный перекус при любых обстоятельствах.",0,2025-06-13 11:19:38,"Колбаса, сосиски, деликатесы#Мясные снеки и колбаски",4.8,1875,https://img.vkusvill.ru/pim/images/site_LargeWebP/ae95d9ec-273c-4600-a1de-6dec2dd8676c.webp?1724019821.3854,chipsy-kurinye-s-pertsem-81955.html
https://vkusvill.ru/goods/file-kurinoy-grudki-s-pertsem-i-chesnokom-narezka-24435.html,"Филе куриной грудки с перцем и чесноком, нарезка",1.8333333333333333,0.19117647058823528,150.0,275.0,122.4,23.4,3.2,0,"филе куриной грудки,чеснок свежий, соль, масло подсолнечное рафинированное дезодорированное, натуральный луковый концентрат(вода, сок лука репчатого), сахар не более 0,2%, перец черный дробленныйТовар от производителейДанный товар поставляют несколько производителей, внешний вид и характеристики могут незначительно отличаться. Актуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Сочное и нежное филе, приготовленное в су-виде. Приправлено свежим чесноком, дроблёным чёрным перцем и луковым концентратом. Уже нарезано на аккуратные ломтики. Для сэндвичей, боулов и салатов. Прекрасно в сочетании с фетой, инжиром и руколой.",0,2025-06-13 11:19:36,"Колбаса, сосиски, деликатесы#Нарезки",4.9,9750,https://img.vkusvill.ru/pim/images/site_LargeWebP/97859a21-d116-43df-9ff9-db477dc1473f.webp?1728730117.9356,file-kurinoy-grudki-s-pertsem-i-chesnokom-narezka-24435.html
https://vkusvill.ru/goods/tvorog-plastovoy-obezzhirennyy-250-g-66335.html,"Творог «Пластовой» обезжиренный, 250 г",0.0,0.1875,250.0,,96.0,18.0,1.2,3.3,"Молоко обезжиренное, закваскаТовар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","У этого творога очень нежная структура, ведь после закваски из него не отжимают сыворотку. А ещё в нём много белка и мало жиров, так что он отлично подойдёт для диетического рациона. Из обезжиренного творога можно приготовить запеканки, сырники, ПП-десерты. А для вкусного перекуса его можно дополнить ягодами или орехами с мёдом.",0,2025-06-13 11:19:17,"Молочные продукты, яйцо#Низкокалорийные продукты",4.8,14460,,tvorog-plastovoy-obezzhirennyy-250-g-66335.html
https://vkusvill.ru/goods/chipsy-syrovyalenye-iz-svininy-81953.html,Чипсы сыровяленые из свинины,5.28,0.1856060606060606,25.0,132.0,264.0,49.0,5.6,4.4,"свинина, соль пищевая, вода питьевая, казеинат натрия, клетчатка (картофельная, цитрусовых), сахар, декстроза, мальтодекстрин, растительные экстракты (свекла, ацерола, зеленый чай, тимьян), экстракты фруктов (лайм, апельсин, лимон), экстракты специй (черный перец, мускатный орех, кардамон, имбирь, душистый перец) сироп глюкозы, дрожжевой экстракт, регулятор кислотности - лимонная кислота, стартовая культура. Продукция производится на предприятии, где используются аллергены: арахис, горчица, злаки, содержащие глютен, кунжут, орехи, сельдерей, соя, яйца.","Сыровяленые чипсы из отборной свинины. С долгоиграющей структурой и умеренно пряным вкусом. В одной пачке 12,25 г белков и всего 66 ккал. Удобный перекус при любых обстоятельствах.",0,2025-06-13 11:19:20,"Колбаса, сосиски, деликатесы#Мясные снеки и колбаски",4.8,1566,https://img.vkusvill.ru/pim/images/site_LargeWebP/e641776c-84bf-46d1-84e2-6ed359a746ab.webp?1724019855.8424,chipsy-syrovyalenye-iz-svininy-81953.html
https://vkusvill.ru/goods/belok-rastitelnyy-soevyy-24557.html,Белок растительный соевый,1.0666666666666667,0.18201823325998112,150.0,160.0,318.1,57.9,0.9,19.6,"шрот соевый, пшеничный глютен, изолят соевого белка, соль пищевая, сода пищеваяТовар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Питательный соевый белок незаменим для рецептов веганской кухни. Основа фарша для сочных аппетитных котлет, паровых биточков, пряных кебабов, домашних сосисок и многого другого.",0,2025-06-13 11:20:04,"Колбаса, сосиски, деликатесы#Вместо колбасы",4.9,754,https://img.vkusvill.ru/pim/images/site_LargeWebP/6d558cbd-3211-4523-ba01-0f146522f4b6.webp?1710058406.4176,belok-rastitelnyy-soevyy-24557.html
https://vkusvill.ru/goods/chipsy-proteinovye-provanskie-travy-44741.html,Чипсы протеиновые «Прованские травы»,6.8,0.17724288840262584,30.0,204.0,411.3,72.9,13.3,0,"подготовленный коллагеновый белок (белок животного происхождения), масло подсолнечное рафинированное дезодорированное, натуральные вкусо-ароматические вещества: сбор сушеных прованских трав (чеснок сушеный (порошок), базилик, розмарин, тимьян, перечная мята, шалфей, орегано, лаванда), перец черный (молотый), регулятор кислотности- лимонная кислота, соль пищевая. Продукция производится на предприятии, где используются аллергены: молоко (лактоза).Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Полезная альтернатива картофельным чипсам, на 75% состоящая из коллагенового белка. Отсутствие углеводов делают чипсы подходящими для кето диеты, а высокое содержание протеина превращает их в идеальный снек для перекуса после тренировки. К тому же, небольшую упаковку удобно брать с собой, чтобы похрустеть в дороге. Некоторые покупатели отмечают, что протеиновыми чипсами легко можно наесться, причём для этого достаточно всего половины упаковки!",0,2025-06-13 11:19:40,"Орехи, чипсы и снеки#Все чипсы",4.7,1686,https://img.vkusvill.ru/pim/images/site_LargeWebP/b2696301-1224-41b3-a8df-4ca00228cbf9.webp?1714948691.166,chipsy-proteinovye-provanskie-travy-44741.html
