url,name,pri/we,pro/cal,weight,price,calories,proteins,fats,carbohydrates,content,description,availability,last_upd_time,category,average_rating,rating_count,imgUrl,html_path
https://vkusvill.ru/goods/chay-grechishnyy-mango-mute-100-g-83685.html,"Чай гречишный «Манго» Mute, 100 г",2.3,0.15343915343915343,100.0,230.0,113.4,17.4,1.8,6.9,"семена татарской гречихи, манго, натуральный ароматизатор ""Манго"".","Этот китайский напиток из гречихи удивит своим «‎кондитерским»‎ вкусом орехового печенья и лёгким сливочным ароматом. Натуральное манго делают его ещё ярче, придавая ему тропическое звучание. Кстати, гречишный чай не содержит кофеина, поэтому подходит даже для поздних чаепитий.",0,2025-06-13 11:21:15,Чай и кофе#Чай#Фруктовый чай,Ждёт оценку,1,https://img.vkusvill.ru/pim/images/site_LargeWebP/e708d3c6-8bf4-45bf-a286-239b11bf4f46.webp?1703235315.1595,chay-grechishnyy-mango-mute-100-g-83685.html
https://vkusvill.ru/goods/chay-grechishnyy-shokoladnyy-maffin-mute-100-g-83686.html,"Чай гречишный «Шоколадный маффин» Mute, 100 г",2.3,0.14910025706940871,100.0,230.0,116.7,17.4,1.9,7.5,"семена татарской гречихи, какао-велла, корица, кориандр, натуральный ароматизатор ""Шоколад"".","Этот китайский напиток из гречихи удивит своим «‎кондитерским»‎ вкусом орехового печенья и лёгким сливочным ароматом. Какао и специй усиливают эти свойства, почти превращая чая в десерт. Кстати, этот напиток не содержит кофеина, поэтому подходит даже для поздних чаепитий.",0,2025-06-13 11:21:17,Чай и кофе#Чай#Фруктовый чай,Ждёт оценку,2,https://img.vkusvill.ru/pim/images/site_LargeWebP/5070496a-fea9-4098-8c41-ef1696f2320b.webp?1703189215.3666,chay-grechishnyy-shokoladnyy-maffin-mute-100-g-83686.html
https://vkusvill.ru/goods/chay-chernyy-listovoy-s-travami-tayga-0-4-kafe-63959.html,"ЧАААЙ!!! черный листовой с травами Тайга 0,4, кафе",0.35,0.14621059691482227,400.0,140.0,149.1,21.8,5.1,4.0,"вода питьевая, чай черный листовой ""Taiga Spirit"" (чай черный рассыпной листовой крупный, ягоды можжевельника, саган-дайля, брусника, листья толокнянки).Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Крепкий и терпкий крупнолистовой чёрный чай заварен по-таёжному. С добавлением душистых ягод брусники и можжевельника, сагандайля и листьев толокнянки. Отлично утоляет жажду, согревает и тонизирует.Товар доступен с доставкой и в магазинах с зоной кафе.Вес напитка: 0,36 кг",5,2025-06-13 13:24:40,Напитки#Горячие напитки,4.8,952,https://img.vkusvill.ru/pim/images/site_LargeWebP/b378f516-fca0-4b23-b517-52900e9b7cf9.webp?1728644432.201,chay-chernyy-listovoy-s-travami-tayga-0-4-kafe-63959.html
https://vkusvill.ru/goods/chay-zelenyy-s-klubnikoy-i-aromatom-arbuza-100-g-83683.html,"Чай зеленый с клубникой и ароматом арбуза, 100 г",2.6,0.125,100.0,260.0,1.6,0.2,0,0.2,"зеленый чай сенча, кусочки клубники, натуральный ароматизатор ""Арбуз"".","Классический зелёный чай в десертном исполнении: с кусочками клубники и натуральным арбузным ароматизатором. У напитка многогранный вкус, в котором гармонично звучат травянисто-терпкие ноты чайного листа, кислинка летних ягод и сахаристая сладость спелого арбуза.",0,2025-06-13 11:21:32,Чай и кофе#Чай#Зеленый чай,Ждёт оценку,0,https://img.vkusvill.ru/pim/images/site_LargeWebP/40181333-0b96-4f12-b32b-74869303cbb2.webp?1703235587.7701,chay-zelenyy-s-klubnikoy-i-aromatom-arbuza-100-g-83683.html
https://vkusvill.ru/goods/travyanoy-sbor-s-kurilskim-chaem-romashkoy-i-shipovnikom-79603.html,"Травяной сбор с курильским чаем, ромашкой и шиповником",4.777777777777778,0.11358574610244988,45.0,215.0,89.8,10.2,2.6,6.4,"курильский чай, цветки ромашки, плоды шиповника, лист подорожника, трава володушки.","Душистый травяной чай из сибирских дикоросов, собранных вручную. Купаж 5 растений рождает травянисто-пряный вкус настоя, в котором явственно звучат цветочно-медовые ромашковые ноты и изысканная кислинка шиповника. Напиток превосходно согревает, поэтому каждое чаепитие с ним будет пронизано ощущением уюта. В упаковке 30 фильтр-пакетов.",0,2025-06-13 11:21:24,Чай и кофе#Чай#Сборы и травяные чаи,4.6,178,https://img.vkusvill.ru/pim/images/site_LargeWebP/688b7de3-d2d3-4e13-a45e-fc19df34f82a.webp?1733079743.3517,travyanoy-sbor-s-kurilskim-chaem-romashkoy-i-shipovnikom-79603.html
https://vkusvill.ru/goods/napitok-chaynyy-chabrets-i-lavanda-40830.html,Напиток чайный «Чабрец и лаванда»,3.4,0.1015531660692951,40.0,136.0,83.7,8.5,2.5,6.8,"чабрец (трава), лаванды цветы, эхинацея (трава), чага (гриб), шиповника плоды, календулы цветы, ежевики листья, мяты листья, мелиссы листья.Товар от производителейДанный товар поставляют несколько производителей, внешний вид и характеристики могут незначительно отличаться. Актуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Ароматный травяной напиток из пряного чабреца, душистой лаванды, листьями мяты, мелиссы и ежевики, цветками календулы. В напиток добавлена эхинацея, плоды шиповника и древесный гриб чага. Полезный и вкусный, этот напиток хорошо утоляет жажду и освежает. Он вкусен в любое время дня. Горячим, с мёдом или вареньем, или холодным, с лимоном и свежими ягодами.",0,2025-06-13 11:21:32,Чай и кофе#Чай#Сборы и травяные чаи,4.9,3917,https://img.vkusvill.ru/pim/images/site_LargeWebP/a6fd7ed6-4a49-4dc3-b5e5-8cf5aac04268.webp?1711270311.8072,napitok-chaynyy-chabrets-i-lavanda-40830.html
https://vkusvill.ru/goods/chay-chernyy-s-chabretsom-v-piramidkakh-39373.html,Чай черный с чабрецом в пирамидках,6.7,0.09590517241379311,40.0,268.0,185.6,17.8,5.6,16.0,"Чай черный рассыпной листовой крупный, чабрецТовар от производителейДанный товар поставляют несколько производителей, внешний вид и характеристики могут незначительно отличаться. Актуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Ароматный чёрный чай с натуральным чабрецом. Тонкий пряный привкус и освежающее послевкусие. Крепкий настой красноватого оттенка. Этот полезный чай бодрит, придаёт сил и отлично утоляет жажду. Вкусен с молоком и мёдом. Способ приготовления: Положите один фильтр-пакет в чашку и залейте его горячей водой. Дайте настояться 3–5 минут. В упаковке 20 пакетиков",0,2025-06-13 11:21:34,Чай и кофе#Чай#Сборы и травяные чаи,4.9,2864,https://img.vkusvill.ru/pim/images/site_LargeWebP/c5bf2d5d-601f-4518-b06b-581c450ae23e.webp?1716414569.768,chay-chernyy-s-chabretsom-v-piramidkakh-39373.html
https://vkusvill.ru/goods/myata-dushistaya-19907.html,Мята душистая,3.425,0.08963963963963964,40.0,137.0,222.0,19.9,6.0,22.2,"листья мяты 100%Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Молотые листики перечной мяты с характерным освежающим вкусом и ментоловым ароматом. Мяту можно заваривать отдельно для получения насыщенного настоя или добавлять в другие напитки. Она также замечательно дополнит мясные блюда, а вкус десертов и варенья, приготовленных с добавлением этой душистой травки, приобретёт необыкновенные пряные нотки.",0,2025-06-13 11:21:22,Чай и кофе#Чай#Сборы и травяные чаи,4.8,1719,https://img.vkusvill.ru/pim/images/site_LargeWebP/48ca67da-c1c0-469a-9f55-a298143e36ed.webp?1711268557.0741,myata-dushistaya-19907.html
https://vkusvill.ru/goods/travyanoy-sbor-s-kurilskim-chaem-sennoy-i-kleverom-79608.html,"Травяной сбор с курильским чаем, сенной и клевером",4.777777777777778,0.08496732026143791,45.0,215.0,30.6,2.6,0.6,3.7,"листья сенны, кора крушины, листья крапивы, корень лопуха, листья смородины, цветки ромашки, курильский чай, трава клевера.","Душистый травяной чай из сибирских дикоросов, собранных вручную. Купаж из 8 растений рождает травянисто-пряный вкус настоя, в котором явственно звучат сладковатые оттенки крапивы, терпкость смородиновых листьев и цветочно-медовые ромашковые ноты. Напиток превосходно согревает, поэтому каждое чаепитие с ним будет пронизано ощущением уюта. В упаковке 30 фильтр-пакетов.",0,2025-06-13 11:21:14,Чай и кофе#Сборы и травяные чаи,4.7,152,https://img.vkusvill.ru/pim/images/site_LargeWebP/b4b5c781-7e07-4a64-9249-38f3d4d24bda.webp?1725049896.4082,travyanoy-sbor-s-kurilskim-chaem-sennoy-i-kleverom-79608.html
https://vkusvill.ru/goods/napitok-chaynyy-karkade-40-g-81330.html,"Напиток чайный Каркаде, 40 г",2.675,0.08333333333333333,40.0,107.0,3.6,0.3,0,0.6,"лепестки суданской розыТовар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Россыпь драгоценных лепестков суданской розы, бережно собранных и высушенных для приготовления легендарного напитка. У настоя выразительный, чуть терпкий вкус с узнаваемой цветочной кислинкой и душистый аромат. Этот чай Обладает лёгким тонизирующим эффектом, прекрасно согревает и освежает в зависимости от температуры подачи.",0,2025-06-13 11:21:14,Чай и кофе#Сборы и травяные чаи,Ждёт оценку,4,https://img.vkusvill.ru/pim/images/site_LargeWebP/ca6f320e-483d-4b42-a027-3c196e1655e1.webp?1717276083.3703,napitok-chaynyy-karkade-40-g-81330.html
