url,name,proteins,fats,carbohydrates,calories,category,price,availability,average_rating,rating_count,imgUrl,content,weight,pro/cal,pri/we,html_path,last_upd_time,description,fetchErr
https://www.ozon.ru/product/kotleta-steykburger-iz-govyadiny-ozon-fresh-360-g-ohlazhdennaya-2038883978/,"Котлета Стейкбургер из говядины, Ozon Fresh, 360 г, охлажденная",14,32,0,352,"Ozon fresh#Мясо, птица и рыба#Мясо и птица#Котлеты, бургеры#Ozon fresh",349,1,4.8,133,https://cdn1.ozone.ru/s3/multimedia-1-s/7510237120.jpg,"говядина, соль пищевая, перец черный молотый.",360,0.03977272727272727,0.9694444444444444,,2025-06-13 10:53:04,,
https://www.ozon.ru/product/chahohbili-iz-myasa-tsyplenka-s-ovoshchami-650-g-ozon-fresh-ohlazhdennyy-1801952685/,"Чахохбили из мяса цыпленка с овощами 650 г, Ozon fresh, охлажденный",11,8,4.5,130,"Ozon fresh#Мясо, птица и рыба#Мясо и птица#Шашлык, маринад#Ozon fresh",329,1,4.6,231,https://cdn1.ozone.ru/s3/multimedia-1-m/7456517590.jpg,"Состав: мясо цыпленка-бройлера, лук репчатый, морковь свежая, перец болгарский свежемороженный, томатная паста, вода питьевая, масло подсолнечное рафинированное, соль повареная пищевая, чеснок сушеный гранулированный, специи сушеные измельченые (перец черный, хмели-сунели, кинза, паприка копченая), регуляторы кислотности (цитрат натрия, ацетат натрия).",,0.08461538461538462,0,,2025-06-13 10:53:04,"Чахохбили - традиционное блюдо грузинской кухни . Это очень простое и вкусное блюдо из куриного мяса, тушенного в соусе из томатов и лука, с добавлением чеснока, кавказских специй и большого количества зелени, что придает блюду невообразимый аромат!",
https://www.ozon.ru/product/myakot-bedra-tsyplenka-broylera-v-marinade-s-pechenym-pertsem-500-g-ozon-fresh-ohlazhdennaya-1801952842/,"Мякоть бедра цыпленка-бройлера в маринаде с печеным перцем 500 г, Ozon fresh, охлажденная",14.3,10,2.9,158.8,"Ozon fresh#Мясо, птица и рыба#Мясо и птица#Шашлык, маринад#Ozon fresh",319,1,4.9,768,https://cdn1.ozone.ru/s3/multimedia-1-a/7456519774.jpg,,,0.09005037783375315,0,,2025-06-13 10:53:04,"Мякоть бёдрышек в чуть пикантном томатном маринаде с печёным болгарским перцем. Для тех, кто любит посочнее и посытнее. Готовятся быстро и прямо в упаковке. Уложите пакет этикетками вниз на застеленный пергаментом противень, сделайте надрез в середине и отправьте в разогретую до 180ºС духовку. Через 40–45 минут ароматное мясо будет готово.",
https://www.ozon.ru/product/kotlety-iz-indeyki-i-tsyplenka-broylera-s-syrom-chedder-400-g-ozon-fresh-ohlazhdennye-1801952865/,"Котлеты из индейки и цыпленка-бройлера с сыром чеддер 400 г, Ozon fresh, охлажденные",18,10.3,10,204.7,"Ozon fresh#Мясо, птица и рыба#Мясо и птица#Котлеты, бургеры#Ozon fresh",309,1,4.7,265,https://cdn1.ozone.ru/s3/multimedia-1-n/7456522955.jpg,"Состав:Мясо индеек, филе грудки цыпленка - бройлера, кожа цыпленка - бройлера, вода питьевая, сыр Чеддер м.д.ж. в сухом веществе 50% (цельное  пастеризованное коровье молоко, соль пищевая, термофильная закваска, сычужный фермент (животного происхождения)), сухари панировочные (мука пшеничная хлебопекарная, вода питьевая, соль пищевая, дрожжи хлебопекарные),  масло сливочное м.д.ж. 72,5% (сливки пастеризованные) , клетчатка пшеничная, соль пищевая, перец чёрный молотый.",,0.08793356130923304,0,,2025-06-13 10:53:04,Сочные котлеты с ярким сырным вкусом. Сухарная панировка сохранит весь сок внутри и добавит аппетитного хруста. Обжарьте до золотистой корочки и дополните любимым гарниром или овощным салатом.,
https://www.ozon.ru/product/tefteli-iz-indeyki-330-g-indilayt-ohlazhdennye-833861088/,"Тефтели из индейки 330 г, Индилайт, охлажденные",13,25.0,3,290,"Ozon fresh#Мясо, птица и рыба#Мясо и птица#Индейка#Индилайт",206,1,4.9,6262,https://cdn1.ozone.ru/s3/multimedia-1-3/7402236483.jpg,,,0.04482758620689655,0,,2025-06-13 10:53:05,"Упаковано в газово-модифицированной среде. Тефтели из индейки Индилайт - это вкусное и полезное блюдо, отличающееся легкостью и приятным вкусом. Они представляют собой нежные фаршевые шарики, приготовленные из качественной индейки, которая была охлаждена для сохранения свежести.

Тефтели из индейки Индилайт весом 330 грамм являются отличным вариантом для семейного обеда или ужина. Они легко приготовить и подойдут как для горячего, так и для холодного подачи. Вы можете приготовить их на сковороде, в духовке или на гриле, выбирая самый удобный способ приготовления.

Индейка является источником белка низкого содержания жира, что делает эти тефтели диетическим и полезным блюдом. Они богаты витаминами и минералами, такими как железо и цинк, которые необходимы для поддержания здоровья.

Вы можете подать тефтели из индейки Индилайт с различными гарнирами, свежими овощами или соусами по вашему вкусу. Они отлично сочетаются с картофельным пюре, рисом или овощным салатом.

Так что несомненно, тефтели из индейки Индилайт охлажденные весом 330 г - это отличный выбор для вкусного, полезного и легкого обеда или ужина. Попробуйте и наслаждайтесь этим аппетитным блюдом!",
https://www.ozon.ru/product/farsh-klassicheskiy-iz-indeyki-450-g-indilayt-ohlazhdennyy-142120791/,"Фарш Классический из индейки 450 г, Индилайт, охлажденный",16,18,0,230,"Ozon fresh#Мясо, птица и рыба#Мясо и птица#Индейка#Индилайт",198,1,4.9,24152,https://cdn1.ozone.ru/s3/multimedia-1-9/7505857881.jpg,"Мясо индейки, кожа индейки, мальтодекстрин, натуральный ароматизатор, соль, экстракт лимона, чеснок. Может содержать глютен, молоко (в т.ч. лактозу), горчицу, сою, сельдерей, яйца, кунжут, арахис, орехи и/или продукты их переработки",450,0.06956521739130435,0.44,,2025-06-13 10:53:05,"Упаковано в газово-модифицированной среде. Фарш индейки подходит для любых блюд. Дайте волю фантазии и радуйте близких новым меню каждый день. Котлеты, тефтели, фрикадельки, запеканки - готовьте разнообразно и с удовольствием.",
https://www.ozon.ru/product/kolbaski-syrokopchenye-70-g-remit-kabanos-chicken-162438204/,"Колбаски сырокопченые 70 г, Ремит, Kabanos Chicken",25,35,3,430,"Ozon fresh#Мясо, птица и рыба#Колбасы и сосиски#Мясные деликатесы#Ремит",119,1,4.9,6027,https://cdn1.ozone.ru/s3/multimedia-1-g/7385693596.jpg,,70,0.05813953488372093,1.7,,2025-06-13 10:53:05,"Сырокопченые колбаски Kabanos Chicken. Для тех, кто любит понежнее: в составе свинина и курица с легкой нотой чеснока.Удобно брать с собой – в школу, в институт, на работу, на любимый матч, в поход, на рыбалку, по грибы, в велотур, на концерт, на алковечеринку, просто для прогулки по городу.- Очень вкусный и быстрый перекус.- Почти 2 м яркого вкуса в одной упаковке!- Не надо чистить (съедобная оболочка)- Долгий срок хранения - 180 дней.- Не нужно хранить в холодильнике.- Удобно есть самому, весело делиться с друзьями!Попробуй - не остановишься!",
https://www.ozon.ru/product/file-bedra-indeyki-410-g-indilayt-ohlazhdennoe-161651962/,"Филе бедра индейки 410 г, Индилайт, охлажденное",16,9,0,150,"Ozon fresh#Мясо, птица и рыба#Мясо и птица#Индейка#Индилайт",299,1,4.9,17367,https://cdn1.ozone.ru/s3/multimedia-1-t/7495766741.jpg,,410,0.10666666666666667,0.7292682926829268,,2025-06-13 10:53:05,"Упаковано в газово-модифицированной среде. Мясо бедра индейки обладает ярким насыщенным вкусом и ароматом. Правильно приготовленное филе бедра очень мягкое и просто тает во рту. Идеально для тушения и томления с овощами и специями. Красное мясо содержит железо и  миоглобин, необходимые для синтеза красных кровяных телец. Оно богато калием, кальцием, фосфором и магнием, а также витаминами группы В, которые положительно влияют на нервную систему.",
https://www.ozon.ru/product/vetchina-po-ispanski-ozon-fresh-170-g-1768195567/,"Ветчина по-испански Ozon fresh, 170 г",19,23,1,291,"Ozon fresh#Мясо, птица и рыба#Колбасы и сосиски#Ветчина#Ozon fresh",379,1,4.8,152,https://cdn1.ozone.ru/s3/multimedia-1-1/7290330829.jpg,"свинина, вода питьевая, соль пищевая, экстракты специй (тимьян, чеснок, перец черный, мускатный орех), экстракты фруктов ( лайм, апельсин, лимон, помело), декстроза, карамельный сироп (сахар, вода питьевая).",170,0.06529209621993128,2.2294117647058824,,2025-06-13 10:53:05,,
https://www.ozon.ru/product/kolbasa-syrokopchenaya-braunshveygskaya-100-g-ozon-fresh-narezka-1751906525/,"Колбаса сырокопченая Брауншвейгская 100 г, Ozon fresh, нарезка",16,56,0,514,"Ozon fresh#Мясо, птица и рыба#Колбасы и сосиски#Сырокопченая колбаса#Ozon fresh",179,1,4.9,1624,https://cdn1.ozone.ru/s3/multimedia-1-c/7203102588.jpg,"ГОВЯДИНА, ШПИК, СВИНИНА, ПОСОЛОЧНАЯ СМЕСЬ ( СОЛЬ ПИЩЕВАЯ, ФИКСАТОР ОКРАСКИ НИТРИТ НАТРИЯ), СОЛЬ, САХАР, ПРЯНОСТИ (ПЕРЕЦ ЧЕРНЫЙ, МУСКАТНЫЙ ОРЕХ), АНТИОКИСЛИТЕЛЬ (АСКОРБИНОВАЯ КИСЛОТА), СТАРТОВЫЕ КУЛЬТУРЫ",100,0.0311284046692607,1.79,,2025-06-13 10:53:06,,
