url,name,category,price,availability,average_rating,rating_count,imgUrl,description,content,pro/cal,pri/we,html_path,last_upd_time,weight,proteins,fats,carbohydrates,calories,fetchErr
https://www.ozon.ru/product/persik-sochnyy-500-g-595359297/,"Персик, сочный, 500 г","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Персики, сливы, нектарины и абрикосы",199,1,4.6,679,https://cdn1.ozone.ru/s3/multimedia-x/6161542257.jpg,"Персик, 500 г",Персики,0,0,,2025-06-13 10:43:46,,,,,,
https://www.ozon.ru/product/ogurtsy-gruntovye-hrustyashchie-1-kg-1614531216/,"Огурцы грунтовые, хрустящие, 1 кг","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Огурцы",104,1,4.9,5651,https://cdn1.ozone.ru/s3/multimedia-1-l/7535651313.jpg,,Огурцы,0,0.104,,2025-06-13 10:43:47,1000,,,,,
https://www.ozon.ru/product/abrikos-sezonnyy-500-g-601529260/,"Абрикос, сезонный, 500 г","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Персики, сливы, нектарины и абрикосы",144,1,4.6,457,https://cdn1.ozone.ru/s3/multimedia-r/6335706507.jpg,"Абрикос, 500 г",,0,0.288,,2025-06-13 10:43:47,500,,,,,
https://www.ozon.ru/product/nektariny-0-5-kg-595359953/,"Нектарины, 0,5 кг","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Персики, сливы, нектарины и абрикосы",199,1,4.7,718,https://cdn1.ozone.ru/s3/multimedia-1-r/7369068807.jpg,"Нектарины, 500 г",Нектарины,0,0,,2025-06-13 10:43:47,,,,,,
https://www.ozon.ru/product/tomaty-kokteyl-kruglye-krasnye-na-vetke-250-g-eko-kultura-839697619/,"Томаты коктейль круглые красные на ветке 250 г, ЭКО-культура","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Помидоры#ЭКО-культура",132,1,4.9,5284,https://cdn1.ozone.ru/s3/multimedia-1-v/7542344515.jpg,"Красные томаты коктейль бренда ""ЭКО-культура"" - образец сбансированного сочетания сочности плода с умеренно сладкого вкуса. Помидоры ""ЭКО-культура"" прекрасно подойдут для салатов, как дополнение к основным блюдам и в качестве самостоятельного продукта. Средний калибр плодов томата коктейль сочные,  долго хранятся.   Томаты ""ЭКО-кульура"" произведены биологическим методом выращивания (экологически чистые овощи) экспертом производства тепличных овощей",,0.05,0.528,,2025-06-13 10:43:47,250,0.9,0.2,2.7,18,
https://www.ozon.ru/product/tomaty-slivovidnye-krasnye-600-g-eko-kultura-839697919/,"Томаты сливовидные красные 600 г, ЭКО-культура","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Помидоры#ЭКО-культура",122,1,4.8,8545,https://cdn1.ozone.ru/s3/multimedia-1-z/7542348551.jpg,"Сливовидные томаты от ""ЭКО-культура"" средние по размеру, умеренно сочные, сладкие с немного пикантным вкусом и  прекрасной ароматикой. Богаты высоким содержанием витаминов, клетчатки, пектина и минеральных веществ. Сливовидные томаты, как и томаты других форм,  отлично подходят для употребления в свежем виде, а также используются для приготовления холодных закусок, овощных салатов, горячих блюд. Томаты ""ЭКО-кульура"" произведены биологическим методом выращивания (экологически чистые овощи) экспертом производства тепличных овощей",Томаты свежие,0.05333333333333334,0.20333333333333334,,2025-06-13 10:43:48,600,0.8,0.1,2.3,15,
https://www.ozon.ru/product/tomaty-kruglye-krasnye-600-g-eko-kultura-839697623/,"Томаты круглые красные 600 г, ЭКО-культура","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Помидоры#ЭКО-культура",159,1,4.9,8354,https://cdn1.ozone.ru/s3/multimedia-1-j/7542324487.jpg,"Круглые томаты ""ЭКО-культура""  -  сочные плоды с умеренно сладким вкусом и насыщенным ароматом, равномерного красного цвета. Томаты данной формы - классика на кухне любой хозяйки. Такие томаты богаты витаминами С и К, клечаткой, ликопином, обладают антиоксидантным действием. Красные круглые томаты подходят для всех форм блюд, а также самостоятельных нарезок.   Томаты ""ЭКО-кульура"" произведены биологическим методом выращивания (экологически чистые овощи) экспертом производства тепличных овощей",,0.05333333333333334,0.265,,2025-06-13 10:43:48,600,0.8,0.1,2.8,15,
https://www.ozon.ru/product/tomaty-vau-cherri-kruglyy-krasnye-na-vetke-200-g-eko-kultura-1879999751/,"Томаты ВАУ черри круглый красные на ветке 200 г, ЭКО-культура","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Помидоры#Экокультура",143,1,5.0,2320,https://cdn1.ozone.ru/s3/multimedia-1-m/7382888734.jpg,,томат,0,0.715,,2025-06-13 10:43:48,200,,,,,
https://www.ozon.ru/product/tomat-mahitos-600-g-1202090580/,"Томат махитос, 600 г","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Помидоры",236,1,4.9,251,https://cdn1.ozone.ru/s3/multimedia-n/6707405891.jpg,,Томат,0,0.3933333333333333,,2025-06-13 10:43:48,600,,,,,
https://www.ozon.ru/product/morkov-molodaya-novyy-urozhay-500-g-1130776120/,"Морковь, молодая, новый урожай, 500 г","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Корнеплоды",139,1,4.5,505,https://cdn1.ozone.ru/s3/multimedia-1-7/7589747527.jpg,,Морковь,0,0.278,,2025-06-13 10:43:49,500,,,,,
