url,name,pri/we,pro/cal,weight,price,calories,proteins,fats,carbohydrates,content,description,availability,last_upd_time,category,average_rating,rating_count,imgUrl,html_path
https://vkusvill.ru/goods/morozhenoe-protein-banan-bez-sakhara-20989.html,Мороженое протеин. «Банан» без сахара,2.04,0.14150943396226415,75.0,153.0,106.0,15.0,2.0,7.0,"изолят сывороточного белка, пюре из банана замороженное, сливки из коровьего молока, подсластитель - изомальт, пребиотик - инулин, крахмал тапиоковый, крахмал рисовый, подсластитель - стевиолгликозиды. Продукция производится на предприятии, где используются аллергены: орехи. Содержит подсластители (сахарозаменители). При чрезмерном употреблении могут оказывать слабительное действие.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Протеиновое мороженое на сывороточном белке и сливках. Деликатную сладостью лакомству придаёт изомальт, а насыщенный фруктовый вкус — пюре спелых бананов.  Целая порция мороженого содержит менее 90 ккал, поэтому им можно насладиться даже тем, кто придерживается строгого рациона.",0,2025-06-13 10:41:20,Замороженные продукты#Мороженое,4.8,3689,https://img.vkusvill.ru/pim/images/site_LargeWebP/85849899-e694-4876-80f1-ac2523be3813.webp?1719077128.4352,morozhenoe-protein-banan-bez-sakhara-20989.html
https://vkusvill.ru/goods/morozhenoe-protein-myatnaya-tykva-bez-sakhara-31138.html,Мороженое протеин. «Мятная тыква» без сахара,2.0,0.1414503133393017,75.0,150.0,111.7,15.8,2.5,6.5,"молоко обезжиренное, сливки м.д.ж. 40%, пюре из тыквы, семена тыквы, изолят сывороточного белка, подсластитель - эритрит (натуральный заменитель сахара из плодов сливы и винограда), загуститель - крахмал тапиоковый, свежие листья мяты, подсластитель - стевия (натуральный заменитель сахара из листьев стевии). Продукт производится на предприятии, где используют орехи. Содержит подсластитель.  Содержит подсластители (сахарозаменители). При чрезмерном употреблении могут оказывать слабительное действие.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Нежное мороженое из обезжиренного молока и сливок, приготовленное с добавлением пюре и семечек тыквы. Деликатную сладостью лакомству придают эритрит и стевия, а приятный «холодок» — свежая мята. Во вкусе десерта звучит обволакивающая сливочность, оттенённая тыквенными нотками. Чтобы лакомство было не только вкусным, но и полезным, мы обогатили его сывороточным протеином: в порции мороженого содержится почти 12 г белка! А ещё оно низкокалорийное: на один стаканчик приходится всего 85 ккал, поэтому побаловать себя этим летним десертом смогут даже те сладкоежки, которые придерживаются строгого рациона.",0,2025-06-13 10:41:19,Замороженные продукты#Мороженое,4.7,2952,https://img.vkusvill.ru/pim/images/site_LargeWebP/f71a0346-26ad-4ee3-88c6-7dc4b561cd5a.webp?1685220675.3013,morozhenoe-protein-myatnaya-tykva-bez-sakhara-31138.html
https://vkusvill.ru/goods/morozhenoe-s-proteinom-solyenaya-karamel-s-arakhisom-74620.html,Мороженое с протеином «Солёная карамель с арахисом»,2.08,0.09771986970684039,75.0,156.0,153.5,15.0,7.5,6.5,"молоко восстановленное, молоко цельное, концентрат сывороточного белка, сливки питьевые, сироп ""Карамель"" (вода питьевая, подсластители (эритрит, мальтит), стабилизатор - полидекстрозы, молоко сухое обезжиренное, молоко сухое цельное ""Карамелизированное"", загуститель - ксантановая камедь, ароматизатор натуральный ""Карамель"", краситель - сахарный колер IV, растительный экстракт Луо Хан Гуо, краситель - каротины (бета-каротин)), ядра арахиса дроблёные, стабилизатор - полидекстрозы, стабализаторы - загустители (гуаровая камедь, камедь рожкового дерева, каррагинан), подсластитель - эритрит, соль морская пищевая, ароматизатор натуральный ""Карамель"", подсластитель - экстракт стевии.  Продукция производится на предприятии, где используются аллергены: злаки, содержащие глютен, орехи. Содержит подсластители (сахарозаменители). При чрезмерном употреблении могут оказывать слабительное действие.Товар от производителейАктуальные данные указаны на этикетке. Цена может отличаться в зависимости от региона или формата точки продажи (вендинг, микромаркет).Информация на этикетке может незначительно отличаться","Вкус и польза в одном стаканчике! Мороженое приготовлено из свежего молока с добавлением эритрита и стевии и обогащено белком. Умеренно сладкое, с кусочками дроблёного арахиса и контрастными солоноватыми нотками в послевкусии, оно станет замечательным ПП-десертом. В целой порции лакомства содержится немногим больше 100 ккал: идеально, чтобы побаловать себя даже при строгом рационе.",0,2025-06-13 10:41:20,Мороженое#Стаканчики,4.8,2907,https://img.vkusvill.ru/pim/images/site_LargeWebP/8cd2562e-c5db-4372-9081-a6a7df626013.webp?1722997767.4273,morozhenoe-s-proteinom-solyenaya-karamel-s-arakhisom-74620.html
https://vkusvill.ru/goods/morozhenoe-protein-so-vkusom-myaty-i-s-shokoladnoy-kroshkoy-bez-dob-sakhara-107601.html,Мороженое протеин. со вкусом мяты и с шоколадной крошкой без доб. сахара,2.3076923076923075,0.09119496855345911,65.0,150.0,159.0,14.5,7.0,9.5,"концентрат сывороточных белков, вода питьевая, молоко цельное, молоко сухое обезжиренное, шоколад молочный (какао-масло, аллюлоза, какао тертое, молоко сухое обезжиренное, молоко сухое цельное, инулин, сыворотка сухая молочная, эмульгатор - лецитины (соевый), экстракт ванили, подсластитель - стевиолгликозиды), полидекстроза (пищевые волокна), сливки пастеризованные м.д.ж. 40%, аллюлоза, стабилизаторы (гуаровая камедь, карбоксиметилцеллюлоза, камедь тары), эмульгатор - моно - и диглицериды жирных кислот, ароматизатор натуральный ""Мята"", краситель - медные комплексы хлорофиллов, подсластитель - стевиолгликозиды,  глазурь молочная шоколадная  (масло какао, тертое какао, молоко сухое обезжиренное, сыворотка молочная сухая,  аллюлоза, пребиотик (инулин), молоко сухое цельное, эмульгатор - лецитины (соевый), подсластитель - стевиолгликозиды, стручки ванили молотые). Содержит подсластитель.  Содержит подсластители (сахарозаменители). При чрезмерном употреблении могут оказывать слабительное действие.","Протеиновый десерт с высоким содержанием белка и без белого сахара. Текстура у мороженого нежная, кремовая, с хрустящими шоколадными вкраплениями. Ярким акцентом становится мятный вкус, который делает прохладу лакомства ещё более интересной. Продукт получается насыщенным и при этом не приторным.",0,2025-06-13 10:41:20,Замороженные продукты#Мороженое,4.9,575,https://img.vkusvill.ru/pim/images/site/site_LargeWebP/2bb403a2-949d-4fb0-8b69-29bb6362f43f.webp,morozhenoe-protein-so-vkusom-myaty-i-s-shokoladnoy-kroshkoy-bez-dob-sakhara-107601.html
https://vkusvill.ru/goods/morozhenoe-molochnoe-proteinovoe-vanilnoe-106547.html,Мороженое молочное протеиновое «Ванильное»,1.5066666666666666,0.06811989100817438,75.0,113.0,146.8,10.0,4.0,17.7,"Молоко восстановленное из сухого обезжиренного молока, сахар, концентрат молочного белка, масло сливочное м.д.ж. 82,5%, эмульгатор - моно - и диглицериды жирных кислот, стабилизаторы (камедь рожкового дерева, гуаровая камедь, каррагинан), экстракт ванили.  Продукция производится на предприятии, где используются аллергены: арахис, злаки, содержащие глютен, орехи.","Протеиновый вариант классического мороженого оценят те, кто следит за питанием, но любит побаловать себя. Молочный белок в составе придаёт десерту плотную, но мягкую текстуру. Натуральный экстракт ванили раскрывается лёгкими сливочными нотами, без излишней сладости. Масло добавляет вкусу нежность, делая его более насыщенным. Мороженое тает плавно, оставляя приятное ванильное послевкусие. Удобная упаковка позволяет есть лакомство даже во время прогулки — внутри стаканчика вы найдёте маленькую ложечку.",0,2025-06-13 10:41:25,Замороженные продукты#Мороженое,4.8,111,https://img.vkusvill.ru/pim/images/site/site_LargeWebP/cf75816b-6d0b-4498-8cf5-718f00557669.webp,morozhenoe-molochnoe-proteinovoe-vanilnoe-106547.html
https://vkusvill.ru/goods/morozhenoe-molochnoe-proteinovoe-shokoladnoe-106539.html,Мороженое молочное протеиновое «Шоколадное»,1.5066666666666666,0.06648936170212766,75.0,113.0,150.4,10.0,4.4,17.7,"Молоко восстановленное из сухого обезжиренного молока, сахар, концентрат молочного белка, масло сливочное м.д.ж. 82,5%, какао-порошок, эмульгатор - моно и диглицериды жирных кислот, стабилизаторы (камедь рожкового дерева, гуаровая камедь, каррагинан), экстракт ванили.  Продукция производится на предприятии, где используются аллергены: арахис, злаки, содержащие глютен, орехи.","Низкокалорийное мороженое для тех, кто следит за питанием, но не готов отказаться от любимого угощения. Протеиновая молочная основа со сливочным маслом делает текстуру десерта плотной, но нежной. Какао придаёт шоколадный оттенок, а ванильные ноты смягчают вкус, добавляя глубины и тепла. Удобная упаковка позволяет есть лакомство даже во время прогулки — внутри стаканчика вы найдёте маленькую ложечку.",0,2025-06-13 10:41:20,Замороженные продукты#Мороженое,4.8,231,https://img.vkusvill.ru/pim/images/site/site_LargeWebP/b93aab11-b5af-4b0b-925f-b82f081b97e3.webp,morozhenoe-molochnoe-proteinovoe-shokoladnoe-106539.html
https://vkusvill.ru/goods/morozhenoe-vanilnoe-bez-dob-sakhara-v-vafelnom-stakanchike-106248.html,Мороженое ванильное без доб. сахара в вафельном стаканчике,1.3066666666666666,0.04318181818181818,75.0,98.0,132.0,5.7,7.2,11.1,"молоко цельное, сливки пастеризованные м.д.ж. 40 %, полидекстроза (пищевые волокна), масло сливочное м.д.ж. 82,5 %, молоко сухое обезжиренное, аллюлоза, белок молочный, стабилизаторы (гуаровая камедь, карбоксиметилцеллюлоза, тары камедь), эмульгатор - моно - и диглицериды жирных кислот, экстракт ванили, желатин пищевой (говяжий), подсластитель - стевиолгликозиды, стаканчик вафельный (мука пшеничная хлебопекарная высшего сорта, крахмал картофельный, масло кокосовое рафинированное дезодорированное, эмульгатор - лецитины (соевый), разрыхлитель - гидрокарбонат натрия (сода пищевая), соль пищевая). Содержит подсластитель. Содержит подсластители (сахарозаменители). При чрезмерном употреблении могут оказывать слабительное действие.","Классический ванильный вкус и нежная сливочная текстура — это мороженое без добавления сахара ничуть не уступает привычному пломбиру. В основе — молоко, сливки и немного масла, поэтому десерт получается насыщенным, но не тяжёлым. Вкус мягкий, с тонкой ванильной нотой и лёгкой сладостью за счёт натуральных подсластителей. Пломбир подаётся в вафельном стаканчике — хрустящем, но не крошащемся. Подойдёт тем, кто хочет чего-то прохладного и сливочного, но без лишней сладости.",0,2025-06-13 10:41:22,Замороженные продукты#Мороженое,4.8,1236,https://img.vkusvill.ru/pim/images/site_LargeWebP/063d76e3-94f4-49bc-8a87-8ba5d721e1a1.webp?1748207312.1145,morozhenoe-vanilnoe-bez-dob-sakhara-v-vafelnom-stakanchike-106248.html
https://vkusvill.ru/goods/morozhenoe-kofeynoe-bez-dob-sakhara-101101.html,Мороженое «Кофейное» без доб. сахара,1.8125,0.03681290973272819,80.0,145.0,198.3,7.3,11.5,16.4,"молоко цельное, сливки питьевые м.д.ж. 35% (сливки нормализованные), кофе жареный молотый, подсластитель - мальтит, молоко сухое обезжиренное,  эмульгатор - моно- и диглицериды жирных кислот, стабилизаторы (камедь рожкового дерева, гуаровая камедь, каррагинан), соль пищевая.  Продукция производится на предприятии, где используются аллергены: арахис, злаки, содержащие глютен, орехи, соя, яйца. Содержит подсластители (сахарозаменители). При чрезмерном употреблении могут оказывать слабительное действие.","Мягкое и тягучее, почти бархатистое мороженое с выраженным кофейным вкусом — как чашка эспрессо, только в виде десерта. Кофе чувствуется сразу: это не ароматизатор, а натуральный молотый, за счёт чего вкус получается насыщенным и чуть терпким. Вместо сахара — мальтит, так что мороженое подходит тем, кто следит за рационом. Сливки делают текстуру десерта мягкой, тающей, похожей на джелато. Компактная упаковка подходит, чтобы брать мороженое с собой, а ещё внутри есть ложечка — удобно съесть на ходу, когда хочется чего-то бодрящего и прохладного.",0,2025-06-13 10:41:21,Замороженные продукты#Мороженое,4.8,545,https://img.vkusvill.ru/pim/images/site_LargeWebP/2bc59787-adf1-48d2-a8a4-a07a9335838a.webp?1744440185.6709,morozhenoe-kofeynoe-bez-dob-sakhara-101101.html
https://vkusvill.ru/goods/morozhenoe-proteinovoe-s-fruktozoy-solenoy-karamelyu-106933.html,"Мороженое «Протеиновое» с фруктозой, соленой карамелью",1.92,0.03298279158699809,75.0,144.0,209.2,6.9,12.0,18.4,"Карамельный соус (сливки пастеризованные, подсластитель - мальтитный сироп, фруктоза, масло сливочное, вода минеральная природная столовая питьевая, соль морская пищевая), концентрированное обезжиренное молоко, вода минеральная природная столовая питьевая, концентрат молочного белка, ванильная паста (подсластитель - сорбит, вода питьевая, экстракт ванили, семена ванили, соль пищевая, экстракт сафлора, загуститель - пектины (цитрусовый)), стабилизаторы (камедь рожкового дерева, гуаровая камедь), эмульгатор - моно- и диглицериды жирных кислот.  Продукция производится на предприятии, где используются аллергены: арахис, злаки, содержащие глютен, кунжут, орехи, соя, яйца. Содержит подсластители (сахарозаменители). При чрезмерном употреблении могут оказывать слабительное действие.","Протеиновая основа с молочным белком делает это мороженое полезным перекусом. Солёная карамель на фруктозе даёт приятный контраст сладости и лёгкой солоноватости. Ванильные нотки смягчают вкус, добавляя ему глубины и тепла. Текстура получается нежной, но плотной благодаря молоку и сливочному маслу. Подойдёт тем, кто следит за питанием, но не готов отказываться от десертов. Удобная упаковка позволяет есть лакомство даже во время прогулки — внутри стаканчика вы найдёте маленькую ложечку.",0,2025-06-13 10:41:22,Замороженные продукты#Мороженое,4.8,153,https://img.vkusvill.ru/pim/images/site/site_LargeWebP/6b3d4a47-74cf-4213-90e5-84f7f18a4f8d.webp,morozhenoe-proteinovoe-s-fruktozoy-solenoy-karamelyu-106933.html
https://vkusvill.ru/goods/morozhenoe-s-syrom-gorgonzola-90033.html,Мороженое с сыром Горгонзола,1.82,0.02904109589041096,250.0,455.0,182.5,5.3,8.9,20.3,"Молоко питьевое ультрапастеризованное массовая доля жира 3,2%, сливки питьевые ультрапастеризованные массовая доля жира 33%, сыр Горгонзола с голубой плесенью (молоко цельное, сливки, мезофильные и термофильные заквасочные микроорганизмы,  культура Penicillium roqueforti, молокосвертывающий ферментный препарат микробного происхождения, соль пищевая, уплотнитель - хлорид кальция), сахар, сухое обезжиренное молоко, виноградный сахар,  стабилизаторы (гуаровая камедь, каррагинан). Продукция производится на предприятии, где используются аллергены: арахис, злаки, содержащие глютен, кунжут, орехи, яйца.","Оригинальное мороженое для гурманов, ценителей изысканных сыров и всех, кто готов к гастрономическим экспериментам. Оно нежное, тягучее, со многогранным вкусом, в котором переплетаются сливочная сладость и пикантные ноты голубого сыра. А чтобы лакомство можно было разделить с близкими, мы выпустили его в большой упаковке.",0,2025-06-13 10:41:19,Замороженные продукты#Мороженое,4.8,489,https://img.vkusvill.ru/pim/images/site_LargeWebP/0cf82e0b-be22-4e8b-9ee9-8854d962f67a.webp?1717190167.8456,morozhenoe-s-syrom-gorgonzola-90033.html
