url,name,proteins,fats,carbohydrates,calories,category,price,availability,average_rating,rating_count,imgUrl,content,weight,pro/cal,pri/we,html_path,last_upd_time,description,fetchErr
https://www.ozon.ru/product/plombir-v-vafelnom-stakanchike-80-g-ozon-fresh-1783447517/,"Пломбир в вафельном стаканчике 80 г, Ozon fresh",4,11.5,24,220,Ozon fresh#Заморозка#Мороженое и лёд#Порционное#Ozon fresh,49,1,4.9,7798,https://cdn1.ozone.ru/s3/multimedia-1-2/7524542774.jpg,"Вода питьевая, масло сливочное, сахар, молоко сухое обезжиренное, вафельный стаканчик (мука пшеничная общего назначения, масло подсолнечное рафинированное дезодорированное, эмульгатор лецитин соевый, соль, разрыхлитель гидрокарбонат натрия, яичный меланж сухой), эмульгаторы (моно- и диглицериды жирных кислот, Твин 80), стабилизаторы (карбоксиметилцеллюлоза натриевая соль, гуаровая камедь, каррагинан), ароматизатор натуральный.",80,0.01818181818181818,0.6125,,2025-06-13 11:15:38,,
https://www.ozon.ru/product/gedza-s-tsyplenkom-400-g-ozon-fresh-zamorozhennye-1787553559/,"Гёдза с цыпленком 400 г, Ozon fresh, замороженные",8.3,7.8,23.9,199,"Ozon fresh#Заморозка#Пельмени, вареники и блины#Пельмени, хинкали, равиоли#Ozon fresh",369,1,4.9,218,https://cdn1.ozone.ru/s3/multimedia-1-c/7382802648.jpg,,400,0.041708542713567845,0.9225,,2025-06-13 11:15:38,"На сковороде разогреть 2 столовые ложки растительного масла, выложить гёдза плоской стороной вниз и обжарить до появления золотистой корочки, затем, добавить 30-40 мл воды и сразу резко закрыть крышкой (будьте осторожны, вливая воду в горячее масло, сразу подготовьте крышку для того, чтобы закрыть сковороду). Готовить 2-3 минуты на среднем огне. Открыть крышку, если осталась вода, готовить еще 1 минуту с открытой крышкой. Пакеты с соусом и маслом вскрыть, содержимое обоих пакетов вылить в мелкую емкость и перемешать. Наслаждайтесь вкусом гёдза с соусом.",
https://www.ozon.ru/product/gedza-so-svininoy-400-g-ozon-fresh-zamorozhennye-1787553542/,"Гёдза со свининой 400 г, Ozon fresh, замороженные",6.8,10.9,24.4,225,"Ozon fresh#Заморозка#Пельмени, вареники и блины#Пельмени, хинкали, равиоли#Ozon fresh",369,1,4.9,172,https://cdn1.ozone.ru/s3/multimedia-1-y/7382802706.jpg,,400,0.03022222222222222,0.9225,,2025-06-13 11:15:39,"На сковороде разогреть 2 столовые ложки растительного масла, выложить гёдза плоской стороной вниз и обжарить до появления золотистой корочки, затем, добавить 30-40 мл воды и сразу резко закрыть крышкой (будьте осторожны, вливая воду в горячее масло, сразу подготовьте крышку для того, чтобы закрыть сковороду). Готовить 2-3 минуты на среднем огне. Открыть крышку, если осталась вода, готовить еще 1 минуту с открытой крышкой. Пакеты с соусом и маслом вскрыть, содержимое обоих пакетов вылить в мелкую емкость и перемешать. Наслаждайтесь вкусом гёдза с соусом.",
https://www.ozon.ru/product/sup-solyanka-myasnaya-600-g-ozon-fresh-zamorozhennyy-1878265651/,"Суп Солянка мясная 600 г, Ozon fresh, замороженный",11.2,3.8,5.5,105,Ozon fresh#Заморозка#Полуфабрикаты#Супы#Ozon fresh,199,1,4.7,167,https://cdn1.ozone.ru/s3/multimedia-1-0/7399880532.jpg,"Бульон говяжий процеженный (вода питьевая, говядина, соль пищевая), картофель свежий, бескостное мясо цыпленка отварное, говядина отварная, ветчина из мяса индейки (мясо индейки, вода питьевая, молоко сухое цельное м.д.ж. 26%, соль пищевая, сахар, перец черный молотый, чеснок сушеный, перец красный молотый), окорочка цыплят копченые (окорочка куриные, вода, соль, повареннавя, регуляторы кислотности (Е262, Е331, Е451), стабилизаторы (Е450, Е452), антиокислитель Е301, ароматизатор, фиксатор окраски нитрит натрия, сывороточный продукт), огурцы соленые (огурцы свежие, соль, вода),  морковь свежая, лук репчатый свежий, томатная паста массовая доля сухих растворимых веществ 25% (вода питьевая, томаты свежие), оливки консервированные (вода, оливки без косточки, соль, усилитель вкуса и аромата: Е621, регуляторы кислотности:Е330, Е270, антиокислитель: Е300), маслины консервированные (маслины без косточки, вода питьевая, соль пищевая, фиксатор окраски - глюконат железа), каперсы без черенков в уксусе консервированные (каперсы, вода, винный уксус, соль), масло подсолнечное рафинированное дезодорированное, укроп свежий, соль пищевая, лимон свежий, перец черный молотый.",600,0.10666666666666666,0.33166666666666667,,2025-06-13 11:15:39,"Традиционная солянка на говяжьем бульоне, без добавления красителей, ароматизаторов, усилитлей вкусов и пищевых добавок. Вкусный суп - как дома. Только польза и вкус!",
https://www.ozon.ru/product/pelmeni-severnye-md-halyal-zamorozhennye-800-g-1573984635/,"Пельмени ""Северные"" МД Халяль, замороженные, 800 г",10,10,29,250,"Ozon fresh#Заморозка#Пельмени, вареники и блины#Пельмени, хинкали, равиоли#Мясной Дворик Халяль",199,1,4.8,416,https://cdn1.ozone.ru/s3/multimedia-1-t/7027668893.jpg,,800,0.04,0.24875,,2025-06-13 11:15:39,"«Все гениальное - просто», смело можем сказать мы об этом блюде, где сочетание сочного мяса, завернутого в тонкое тесто, превращается в непревзойденный шедевр кулинарного искусства.",
https://www.ozon.ru/product/plombir-krem-bryule-100-g-v-vafelnom-stakanchike-korovka-iz-korenovki-154595244/,"Пломбир крем-брюле 100 г, в вафельном стаканчике Коровка из Кореновки",3,14,19,216,Ozon fresh#Заморозка#Мороженое и лёд#Порционное#Коровка из Кореновки,99,1,5.0,7036,https://cdn1.ozone.ru/s3/multimedia-1-d/7058188477.jpg,,100,0.013888888888888888,0.99,,2025-06-13 11:15:40,"Пломбир в вафельном стаканчике ""Коровка из Кореновки"" - это идеальное сочетание нежного сливочного мороженого и вафли, которое порадует даже самого изысканного гурмана. Каждый кусочек этого десерта наполнен насыщенным вкусом и неповторимым ароматом, который завоюет ваше сердце с первой ложки.

Секрет вкуса этого пломбира заключается в использовании только самых натуральных ингредиентов - нежного молока, свежих сливок и натуральных добавок без искусственных красителей и консервантов. Это делает продукт не только вкусным, но и полезным для вашего организма.

Каждый стаканчик ""Коровки из Кореновки"" - это маленький кусочек райского наслаждения, который подарит вам море удовольствия и радости. Станьте частью нашей большой семьи поклонников и наслаждайтесь каждым моментом, проведенным с этим великолепным десертом.

Не упустите возможность попробовать настоящий вкус детства с пломбиром в вафельном стаканчике ""Коровка из Кореновки"". Погрузитесь в мир невероятных вкусов и ощущений вместе с нами!",
https://www.ozon.ru/product/eskimo-bounty-s-myakotyu-kokosa-i-kokosovym-molokom-v-glazuri-s-vafelnoy-kroshkoy-60-g-1584483876/,"Эскимо BOUNTY с мякотью кокоса и кокосовым молоком, в глазури с вафельной крошкой, 60 г",4.8,23.40,27.6,345,Ozon fresh#Заморозка#Мороженое и лёд#Порционное#Bounty,143,1,4.9,784,https://cdn1.ozone.ru/s3/multimedia-1-3/7271780247.jpg,"мороженое молочное (вода, сухое обезжиренное молоко, сахар, сушеная мякоть кокоса, масло сливочное (М) или молочный жир (F), глюкозный сироп (кукурузный, пшеничный), сухое кокосовое молоко (сухое кокосовое молоко, мальтодекстрин, сухой молочный белок), эмульгатор (моно- и диглицериды жирных кислот), стабилизаторы (камедь рожкового дерева, гуаровая камедь, каррагинан), ароматизатор натуральный (кокос)); глазурь (гидрогенизированный жир специального назначения (пальмоядровое масло, эмульгатор (подсолнечный лецитин)), сахар, сухое цельное молоко, какао-порошок обезжиренный, сухая молочная сыворотка, какао тертое, эмульгаторы (соевый лецитин, E476); ароматизатор (ванилин)). Содержит глютен. Может содержать незначительное количество яичного белка, арахиса, орехов (миндаль, кешью, фундук, фисташка, грецкий).",60,0.013913043478260868,2.3833333333333333,,2025-06-13 11:15:40,"Мороженое молочное BOUNTY® с мякотью кокоса и кокосовым молоком, в глазури.",
https://www.ozon.ru/product/plombir-v-vafelnom-stakanchike-100-g-korovka-iz-korenovki-154595243/,"Пломбир в вафельном стаканчике 100 г, Коровка из Кореновки",3,14,19,216,Ozon fresh#Заморозка#Мороженое и лёд#Порционное#Коровка из Кореновки,99,1,5.0,9195,https://cdn1.ozone.ru/s3/multimedia-1-m/7058186218.jpg,,100,0.013888888888888888,0.99,,2025-06-13 11:15:40,"Пломбир в вафельном стаканчике ""Коровка из Кореновки"" - это идеальное сочетание нежного мороженого и вафли, которое порадует даже самого изысканного гурмана. Каждый кусочек этого десерта наполнен насыщенным вкусом и неповторимым ароматом, который завоюет ваше сердце с первой ложки.

Секрет вкуса этого пломбира заключается в использовании только самых натуральных ингредиентов - нежного молока, свежих сливок и натуральных добавок без искусственных красителей и консервантов. Это делает продукт не только вкусным, но и полезным для вашего организма.

Каждый стаканчик ""Коровки из Кореновки"" - это маленький кусочек райского наслаждения, который подарит вам море удовольствия и радости. Станьте частью нашей большой семьи поклонников и наслаждайтесь каждым моментом, проведенным с этим великолепным десертом.

Не упустите возможность попробовать настоящий вкус детства с пломбиром в вафельном стаканчике ""Коровка из Кореновки"". Погрузитесь в мир невероятных вкусов и ощущений вместе с нами!",
https://www.ozon.ru/product/sup-harcho-s-govyadinoy-600-g-ozon-fresh-zamorozhennyy-1878265611/,"Суп Харчо с говядиной 600 г, Ozon fresh, замороженный",2.6,3.4,7.2,70,Ozon fresh#Заморозка#Полуфабрикаты#Супы#Ozon fresh,161,1,4.8,150,https://cdn1.ozone.ru/s3/multimedia-1-l/7399880517.jpg,,600,0.037142857142857144,0.2683333333333333,,2025-06-13 11:15:41,"Классический суп Харчо на говяжьем бульоне, без добавления красителей, ароматизаторов, усилитлей вкусов и пищевых добавок. Вкусный суп - как дома. Только польза и вкус!",
https://www.ozon.ru/product/borshch-s-kuritsey-i-krasnoy-fasolyu-600-g-ozon-fresh-zamorozhennyy-1878265654/,"Борщ с курицей и красной фасолью 600 г, Ozon fresh, замороженный",4,3.7,6.7,76,Ozon fresh#Заморозка#Полуфабрикаты#Вторые блюда#Ozon fresh,152,1,4.8,160,https://cdn1.ozone.ru/s3/multimedia-1-6/7399880538.jpg,"Бульон куриный процеженный (вода питьевая, окорочок цыпленка-бройлера, соль пищевая), вода питьевая, картофель свежий, свёкла столовая свежая,  капуста белокочанная свежая, бескостное мясо окорочка цыпленка-бройлера отварное, морковь столовая свежая, лук репчатый свежий, фасоль продовольственная красная, томаты быстрозамороженные, томатная паста массовая доля сухих растворимых веществ 25% (вода питьевая, томаты свежие), масло подсолнечное рафинированное дезодорированное, укроп свежий, соль пищевая, сахар, уксус столовый 9%, чеснок  свежий, перец черный молотый, лавровый лист.",600,0.05263157894736842,0.25333333333333335,,2025-06-13 11:15:41,"Борщ на курином бульоне с красной фасолью, без добавления красителей, ароматизаторов, усилитлей вкусов и пищевых добавок. Вкусный суп - как дома. Только польза и вкус!",
