category_name,migrated_csv_name
chay-i-kofe,"Чай и кофе"
gotovaya-eda,"Готовая еда"
indilavka,"Индилавка"
kafe,"Кафе"
khleb-i-vypechka,"Хлеб, выпечка"
kolbasa-sosiski-delikatesy,"Колбаса, сосиски, деликатесы"
konservatsiya,"Консервация"
krupy-makarony-muka,"Крупы, макароны, мука"
kukhnya-vkusvill,"Кухня Вкусвилл"
masla-sousy-spetsii-sakhar-i-sol,"Масла, соусы, специи, сахар и соль"
molochnye-produkty-yaytso,"Молочные продукты, яйцо"
morozhenoe,"Мороженое"
myaso-ptitsa,"Мясо, птица"
napitki,"Напитки"
orekhi-chipsy-i-sneki,"Орехи, чипсы и снеки"
osoboe-pitanie,"Особое питание"
ovoshchi-frukty-yagody-zelen,"Овощи, фрукты, ягоды, зелень"
ryba-ikra-i-moreprodukty,"Рыба, икра и морепродукты"
shefvill-zapech-i-gotovo,"Шефвилл, запечь и готово"
sladosti-i-deserty,"Сладости и десерты"
supermarket,"Супермаркет"
syry,"Сыры"
vegetarianskoe-i-postnoe,"Вегетарианское и постное"
vsye-nuzhnoe-letom,"Все нужное летом"
vypekaem-sami,"Выпекаем сами"
zamorozhennye-produkty,"Замороженные продукты"
zdorove,"Здоровье" 
